ORIGIN/DESTINATION,ABQ,ALB,ANC,ATL,BHM,BNA,BOI,BOS,BTV,BUF,BWI,CAK,CHS,CID,CLE,CLT,CMH,COS,CRP,DAL,DAY,DCA,DEN,DFW,DTW,ELP,EVV,EWR,FAT,FLL,FSD,FWA,GEG,GRR,GSO,GSP,HNL,HOU,HSV,IAD,IAH,ICT,ILM,IND,ISP,JAN,JAX,JFK,LAS,LAX,LEX,LFT,LGA,LGB,LIT,LNK,MCI,MCO,MDW,MHT,MIA,MKE,MOB,MSN,MSP,MSY,MYR,OAK,OKC,OMA,ONT,ORD,PBI,PDX,PHL,PHX,PIT,PSP,PVD,PWM,RDU,RIC,RNO,ROC,RSW,SAN,SAT,SAV,SDF,SEA,SFO,SJC,SLC,SMF,SNA,STL,SYR,TPA,TUL,TUS
ABQ,0,1834,2618,1269,1138,1123,781,1974,1881,1588,1670,1427,1528,934,1411,1449,1342,280,734,580,1272,1650,349,569,1347,223,1080,1805,744,1688,791,1234,1035,1253,1499,1381,3233,759,1126,1628,744,542,1630,1161,1861,970,1480,1826,486,677,1238,914,1821,664,817,670,718,1553,1121,1955,1689,1142,1107,1081,981,1014,1580,889,510,725,630,1118,1671,1111,1747,328,1486,571,1950,2015,1565,1637,787,1643,1584,628,609,1475,1178,1180,896,870,493,866,650,934,1721,1498,608,321
ALB,1834,0,3272,853,946,825,2121,145,123,251,289,414,760,918,424,646,509,1634,1682,1428,576,318,1610,1435,489,1932,792,143,2449,1204,1157,600,2133,595,564,706,4950,1495,895,325,1482,1294,625,683,140,1144,951,146,2237,2468,656,1327,136,2459,1135,1189,1115,1073,717,121,1225,715,1152,787,980,1267,685,2548,1371,1138,2423,723,1163,2395,212,2159,368,2374,141,187,544,407,2379,198,1205,2445,1643,837,703,2356,2559,2544,1960,2491,2449,910,120,1130,1260,2150
ANC,2618,3272,0,3417,3344,3203,1842,3383,3202,3101,3370,3118,3605,2724,3078,3445,3119,2463,3326,3052,3079,3375,2405,3043,2986,2814,3070,3370,2138,3993,2467,2989,1584,2878,3430,3420,2777,3287,3283,3356,3266,2762,3600,3020,3399,3304,3687,3386,2304,2345,3167,3362,3375,2360,3096,2610,2762,3818,2861,3339,4004,2796,3457,2738,2519,3431,3598,2016,2883,2615,2360,2846,3959,1542,3379,2552,3181,2403,3404,3337,3480,3440,1973,3126,3912,2452,3192,3610,3122,1448,2018,2045,2125,1973,2376,2936,3178,3803,2894,2661
ATL,1269,853,3417,0,134,214,1838,946,961,712,577,528,259,694,554,226,447,1184,876,721,432,547,1199,731,594,1282,350,746,1997,581,954,508,1969,640,306,153,4502,696,151,534,689,782,377,432,795,341,270,760,1747,1947,304,503,762,1933,453,841,692,404,591,952,594,669,302,707,907,425,317,2130,761,821,1900,606,545,2172,666,1587,526,1840,903,1027,356,481,1993,749,515,1892,874,214,321,2182,2139,2116,1590,2092,1919,484,794,406,674,1541
BHM,1138,946,3344,134,0,177,1727,1050,1047,779,682,585,391,635,604,350,492,1064,754,587,459,653,1083,597,625,1148,312,850,1870,650,876,518,1869,646,425,275,4371,570,74,637,562,664,511,425,902,212,365,865,1618,1815,331,385,866,1802,324,746,594,479,570,1051,661,650,216,675,854,321,451,2005,632,732,1768,584,619,2064,772,1455,598,1708,1009,1126,480,597,1871,822,569,1759,744,338,323,2079,2013,1990,1472,1968,1787,411,875,459,550,1408
BNA,1123,825,3203,214,177,0,1643,942,916,633,587,435,439,481,448,328,337,1006,857,623,293,562,1014,631,456,1167,140,748,1832,793,741,344,1763,470,377,265,4350,670,103,542,657,605,513,249,803,327,483,765,1587,1797,175,511,764,1785,327,636,491,616,395,938,806,475,385,504,695,471,471,1959,616,612,1751,409,757,1973,675,1449,462,1693,906,1010,442,527,1815,680,722,1751,822,417,151,1978,1969,1947,1404,1917,1772,272,741,612,515,1414
BOI,781,2121,1842,1838,1727,1643,0,2265,2122,1876,2059,1780,2082,1248,1750,1958,1728,684,1508,1282,1663,2049,649,1272,1660,972,1544,2147,503,2352,976,1591,287,1542,1980,1905,2836,1501,1687,2025,1482,1066,2141,1563,2197,1616,2091,2167,519,674,1690,1618,2159,680,1419,1014,1152,2194,1448,2233,2358,1423,1769,1349,1142,1706,2110,512,1140,1048,660,1437,2328,344,2113,735,1850,672,2259,2273,2045,2071,335,1925,2255,749,1377,2052,1630,399,522,523,290,437,688,1383,2002,2155,1190,840
BOS,1974,145,3383,946,1050,942,2265,0,181,395,369,549,818,1062,563,728,640,1778,1795,1554,709,399,1754,1562,632,2067,922,200,2593,1237,1302,740,2274,740,645,795,5095,1609,1005,413,1597,1433,672,818,153,1254,1010,187,2381,2611,778,1434,184,2602,1260,1333,1256,1121,861,45,1258,860,1248,932,1124,1368,738,2694,1505,1282,2566,867,1197,2537,280,2300,496,2517,49,95,612,474,2524,343,1249,2588,1764,901,829,2496,2704,2689,2105,2636,2592,1047,265,1185,1394,2289
BTV,1881,123,3202,961,1047,916,2122,181,0,299,408,488,880,952,489,761,587,1668,1771,1503,649,437,1639,1510,537,1991,868,266,2470,1327,1173,658,2116,629,679,817,4956,1585,992,441,1570,1347,748,750,254,1239,1071,266,2267,2500,743,1423,258,2492,1215,1224,1164,1194,760,137,1348,745,1256,813,987,1368,806,2564,1434,1171,2456,763,1286,2383,335,2203,454,2410,209,153,663,528,2392,244,1326,2483,1726,956,784,2337,2575,2561,1976,2504,2483,973,175,1250,1323,2200
BUF,1588,251,3101,712,779,633,1876,395,299,0,281,198,696,667,192,546,296,1384,1482,1206,354,296,1359,1212,241,1693,573,282,2198,1166,908,359,1899,345,476,586,4702,1297,718,283,1281,1051,600,452,326,960,874,301,1986,2218,458,1144,292,2209,920,939,870,1011,468,370,1185,465,994,537,735,1097,639,2299,1136,888,2173,474,1123,2157,279,1912,186,2125,383,427,487,382,2130,55,1144,2196,1432,758,494,2122,2309,2294,1710,2241,2199,674,133,1053,1025,1905
BWI,1670,289,3370,577,682,587,2059,369,408,281,0,280,472,813,314,361,337,1503,1432,1209,406,30,1491,1217,409,1741,593,169,2334,925,1084,468,2111,528,278,426,4855,1246,641,45,1235,1129,345,516,220,888,663,184,2106,2329,437,1067,185,2318,912,1070,967,787,611,377,946,641,878,714,936,998,399,2447,1180,1025,2283,622,883,2358,90,1999,210,2230,327,452,255,121,2286,277,919,2295,1407,549,495,2335,2457,2439,1865,2395,2307,738,273,842,1071,1976
CAK,1427,414,3118,528,585,435,1780,549,488,198,280,0,558,537,40,394,99,1241,1286,1016,162,274,1224,1023,133,1519,381,382,2068,1026,805,196,1831,250,342,417,4585,1100,522,251,1085,885,498,269,437,762,719,402,1846,2073,261,946,397,2063,727,801,711,861,333,534,1044,361,801,434,657,901,518,2176,957,754,2027,343,984,2078,335,1754,70,1976,524,600,376,323,2014,247,991,2045,1238,606,297,2055,2187,2169,1592,2123,2052,498,314,894,846,1740
CHS,1528,760,3605,259,391,439,2082,818,880,696,472,558,0,891,595,168,514,1438,1100,977,536,444,1449,987,667,1538,551,628,2255,470,1166,626,2198,750,221,186,4761,928,406,441,925,1035,155,585,666,587,192,636,2005,2206,438,728,641,2192,712,1074,930,317,745,836,489,814,506,868,1087,636,84,2387,1020,1047,2159,760,428,2411,550,1846,524,2099,771,909,217,353,2248,717,450,2150,1114,86,485,2415,2396,2373,1840,2347,2178,706,736,370,931,1799
CID,934,918,2724,694,635,481,1248,1062,952,667,813,537,891,0,511,742,479,717,1026,684,415,801,692,685,430,1067,346,915,1534,1273,281,344,1324,324,748,705,4048,867,567,777,845,422,916,321,969,666,963,936,1319,1550,461,805,929,1542,494,272,238,1097,204,1037,1286,208,795,149,220,824,898,1640,549,220,1506,196,1238,1557,872,1252,606,1459,1045,1092,809,823,1476,721,1200,1531,932,888,407,1545,1650,1633,1054,1586,1532,228,800,1090,452,1254
CLE,1411,424,3078,554,604,448,1750,563,489,192,314,40,595,511,0,430,112,1220,1292,1015,162,310,1201,1021,95,1508,381,404,2044,1062,774,177,1797,214,380,450,4559,1106,538,288,1091,870,538,261,459,774,753,425,1824,2052,275,958,419,2043,728,778,694,895,307,545,1080,328,820,402,622,917,557,2151,948,729,2007,316,1020,2045,363,1737,106,1957,541,609,416,362,1987,245,1025,2026,1240,641,304,2021,2161,2144,1565,2097,2032,487,317,927,837,1726
CLT,1449,646,3445,226,350,328,1958,728,761,546,361,394,168,742,430,0,347,1333,1101,926,370,331,1337,936,500,1482,414,529,2160,632,1021,460,2060,583,83,75,4678,920,333,322,912,932,185,427,575,562,328,541,1916,2125,281,729,544,2112,640,944,808,468,584,737,650,651,526,708,930,651,157,2287,940,913,2078,599,590,2282,449,1773,366,2020,683,813,130,257,2141,573,600,2077,1095,213,335,2279,2296,2274,1727,2244,2099,575,603,507,842,1735
CMH,1342,509,3119,447,492,337,1728,640,587,296,337,99,514,479,112,347,0,1167,1186,919,71,323,1154,926,155,1428,284,463,1997,973,756,139,1793,241,313,354,4518,1000,427,299,986,800,481,182,519,664,659,483,1771,1995,164,848,479,1985,629,733,632,802,283,628,990,330,709,398,626,806,488,2110,865,689,1949,296,932,2034,406,1670,145,1897,612,696,362,347,1950,346,930,1964,1139,551,198,2016,2120,2102,1528,2058,1974,409,412,829,754,1653
COS,280,1634,2463,1184,1064,1006,684,1778,1668,1384,1503,1241,1438,717,1220,1333,1167,0,866,602,1097,1487,73,592,1145,492,932,1623,833,1673,529,1045,887,1041,1370,1271,3356,829,1034,1463,809,403,1518,987,1678,936,1425,1644,604,833,1089,935,1638,825,746,445,538,1520,917,1754,1678,923,1088,856,725,1022,1477,954,457,497,789,911,1651,1028,1573,551,1306,742,1759,1809,1436,1488,810,1438,1575,816,732,1398,1027,1068,964,943,411,911,815,773,1517,1477,516,580
CRP,734,1682,3326,876,754,857,1508,1795,1771,1482,1432,1286,1100,1026,1292,1101,1186,866,0,352,1130,1404,929,354,1275,601,914,1597,1436,1076,1091,1148,1744,1239,1178,1027,3793,187,791,1387,201,681,1243,1044,1651,544,974,1614,1182,1310,1029,374,1614,1294,572,902,810,989,1112,1793,1071,1176,594,1154,1203,465,1176,1588,525,937,1267,1119,1073,1844,1521,947,1318,1202,1757,1866,1232,1350,1510,1532,973,1224,135,1022,989,1906,1594,1565,1218,1578,1276,861,1596,916,588,859
DAL,580,1428,3052,721,587,623,1282,1554,1503,1206,1209,1016,977,684,1015,926,919,602,352,0,855,1184,651,11,981,562,636,1365,1325,1108,741,854,1486,927,990,852,3795,239,593,1163,216,333,1096,755,1420,397,907,1383,1067,1246,777,340,1381,1232,296,552,461,973,793,1545,1109,850,528,819,853,436,1038,1468,181,586,1200,798,1091,1626,1295,879,1060,1137,1521,1615,1052,1149,1356,1259,1005,1182,247,914,725,1670,1476,1450,999,1442,1216,546,1330,917,238,824
DAY,1272,576,3079,432,459,293,1663,709,649,354,406,162,536,415,162,370,71,1097,1130,855,0,391,1085,861,166,1358,220,533,1928,982,694,90,1735,216,351,362,4449,945,389,368,929,729,522,111,590,617,664,554,1700,1925,130,800,549,1914,567,664,561,808,226,695,998,284,674,347,574,764,520,2041,796,621,1879,240,941,1972,477,1600,215,1827,682,763,406,408,1882,406,932,1893,1078,562,144,1957,2051,2033,1461,1990,1903,339,475,828,685,1583
DCA,1650,318,3375,547,653,562,2049,399,437,296,30,274,444,801,310,331,323,1487,1404,1184,391,0,1476,1192,405,1719,572,199,2318,899,1074,457,2105,524,248,396,4840,1218,613,24,1208,1110,319,500,249,860,634,213,2089,2311,414,1038,214,2300,888,1055,949,759,601,406,919,634,849,707,931,969,372,2432,1158,1012,2265,612,857,2350,119,1979,204,2211,356,482,227,94,2273,296,892,2276,1380,519,474,2329,2442,2424,1851,2381,2288,719,298,814,1049,1955
DEN,349,1610,2405,1199,1083,1014,649,1754,1639,1359,1491,1224,1449,692,1201,1337,1154,73,929,651,1085,1476,0,641,1123,563,931,1605,844,1703,483,1028,836,1015,1370,1278,3365,883,1048,1452,862,420,1522,977,1659,967,1447,1626,628,862,1086,978,1620,854,771,423,533,1546,895,1729,1709,896,1121,826,680,1062,1485,957,495,472,819,888,1679,991,1558,602,1290,776,1737,1782,1436,1482,804,1413,1607,853,794,1414,1024,1024,967,948,391,909,846,770,1492,1506,541,639
